指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2011/4/14,104.8069,,,,,,
2011/4/15,104.8308,,,,,2255,
2011/4/18,104.8526,,,,,2344,
2011/4/19,104.8734,,,,,2344,
2011/4/20,104.8734,,,,,2352,
2011/4/21,104.8461,,,,,2346,
2011/4/22,104.8618,,,,,2319,
2011/4/25,104.8788,,,,,2334,
2011/4/26,104.85,,,,,2316,
2011/4/27,104.8753,,,,,2327,
2011/4/28,104.8454,,,,,2335,
2011/4/29,104.9086,,,,,2332,
2011/5/3,104.9408,,,,,2342,
2011/5/4,104.9698,,,,,2331,
2011/5/5,105.001,,,,,2308,
2011/5/6,105.111,,,,,2274,
2011/5/9,105.1449,,,,,2278,
2011/5/10,105.2221,,,,,2281,
2011/5/11,105.2326,,,,,2321,
2011/5/12,105.2869,,,,,2333,
2011/5/13,105.2166,,,,,2411,
2011/5/16,105.2366,,,,,2410,
2011/5/17,105.2721,,,,,2392,
2011/5/18,105.2617,,,,,2396,
2011/5/19,105.1471,,,,,2374,
2011/5/20,105.0863,,,,,2377,
2011/5/23,105.0067,,,,,2363,
2011/5/24,104.9245,,,,,2371,
2011/5/25,104.8831,,,,,2373,
2011/5/26,104.8512,,,,,2387,
2011/5/27,104.8391,,,,,2362,
2011/5/30,104.7886,,,,,2371,
2011/5/31,104.706,,,,,2371,
2011/6/1,104.6412,,,,,2364,
2011/6/2,104.5949,,,,,2348,
2011/6/3,104.5429,,,,,2330,
2011/6/7,104.5144,,,,,2331,
2011/6/8,104.4789,,,,,2327,
2011/6/9,104.4457,,,,,2326,
2011/6/10,104.3818,,,,,2314,
2011/6/13,104.3182,,,,,2311,
2011/6/14,104.1945,,,,,2334,
2011/6/15,103.9949,,,,,2330,
2011/6/16,103.896,,,,,2310,
2011/6/17,103.8622,,,,,2310,
2011/6/20,103.8578,,,,,2293,
2011/6/21,103.9218,,,,,2282,
2011/6/22,103.8776,,,,,2289,
2011/6/23,103.8646,,,,,2309,
2011/6/24,103.8887,,,,,2308,
2011/6/27,104.0213,,,,,2306,
2011/6/28,104.0728,,,,,2319,
2011/6/29,104.08,,,,,2298,
2011/6/30,104.0543,,,,,2306,
2011/7/1,104.0772,,,,,2306,
2011/7/4,104.1036,,,,,2312,
2011/7/5,104.1101,,,,,2313,
2011/7/6,104.0804,,,,,2334,
2011/7/7,103.9743,,,,,2325,
2011/7/8,104.0155,,,,,2312,
2011/7/11,104.0479,,,,,2308,
2011/7/12,104.0788,,,,,2299,
2011/7/13,104.0117,,,,,2308,
2011/7/14,103.9023,,,,,2305,
2011/7/15,103.8162,,,,,2304,
2011/7/18,103.8059,,,,,2308,
2011/7/19,103.7014,,,,,2304,
2011/7/20,103.51,,,,,2304,
2011/7/21,103.3147,,,,,2289,
2011/7/22,103.2517,,,,,2287,
2011/7/25,103.1886,,,,,2288,
2011/7/26,103.1603,,,,,2286,
2011/7/27,103.1178,,,,,2286,
2011/7/28,103.0191,,,,,2287,
2011/7/29,102.9457,,,,,2286,
2011/8/1,102.8949,,,,,2285,
2011/8/2,102.7929,,,,,2284,
2011/8/3,102.7019,,,,,2284,
2011/8/4,102.6613,,,,,2291,
2011/8/5,102.7268,,,,,2295,
2011/8/8,102.7847,,,,,2275,
2011/8/9,102.7413,,,,,2216,
2011/8/10,102.7181,,,,,2239,
2011/8/11,102.7693,,,,,2226,
2011/8/12,102.7695,,,,,2231,
2011/8/15,102.8196,,,,,2208,
2011/8/16,102.8195,,,,,2178,
2011/8/17,102.8477,,,,,2162,
