,新能源指数,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
2021-06-08,3270.0717,-0.00782564113787565,5.48774318414047e-05,0.0,-0.008974706862056259,-0.0023818987045345352,0.0
2021-06-09,3288.095,0.00549645844629687,2.6865977926782136e-05,0.0,0.011205854597073461,-0.0007952286701389255,0.0
2021-06-10,3433.7641,0.04334869499611571,1.7148251494347733e-06,-0.008340753522619426,-0.0008918618205440154,0.001060164424767862,0.0
2021-06-11,3491.1974,0.016587707210035774,-1.6005149085174253e-05,0.008340753522619426,0.002228164914720665,-0.0007950179297768756,0.0
2021-06-12,3491.1974,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,3491.1974,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,3491.1974,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-15,3451.88,-0.01132576176632405,0.00012803402064331948,-0.00935649764245472,0.016992574818091022,0.0031762864184212702,-0.053332246460188415
2021-06-16,3255.2394,-0.05865318881732762,-0.00017204950152382992,0.0,0.0048024541111511,0.002375611517130949,0.10453530216636597
2021-06-17,3331.1083,0.02303925009886676,-0.00039965775191852515,0.0,-0.010948215333898226,-0.005551897935552219,0.04598297264988549
2021-06-18,3451.2274,0.03542486444679405,-9.951045439926531e-05,0.0,-0.019789417343801574,-0.0005303633112916373,0.018746042821055298
2021-06-19,3451.2274,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,3451.2274,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,3508.9333,0.016582152267215378,0.0003956956145998447,0.0,-0.011519043235295179,0.0005303633112916373,0.02225060893481956
2021-06-22,3518.1011,0.0026092956657581823,6.059850746620299e-05,0.0,0.022462759380270647,0.0007950179297768756,0.00034922298242179295
2021-06-23,3589.7584,0.0201635183637201,0.0001937762393522391,0.0,0.009065844292726055,-0.0007950179297768756,0.027889568005150522
2021-06-24,3617.3297,0.007651199519489893,0.0003885825358187489,-0.004583659667658058,0.004611845222562749,-0.0015919345362505055,0.014997332235271443
2021-06-25,3662.425,0.012389394612888793,0.0003296053305943403,0.0,0.008074239173502029,-0.0002655689831030372,-0.01330097898709326
2021-06-26,3662.425,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,3662.425,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-28,3722.2672,0.016207448686072823,0.0006611679961494588,0.0,-0.002175805906245998,0.008463419997807975,-0.005268089335475956
2021-06-29,3775.9091,0.014308229896387914,0.000311590839239706,-0.004604766386748338,-0.02782865093862341,-0.0005268704020711112,-0.047810919812309116
2021-06-30,3848.3775,0.019010456002014564,0.00029209956466935694,0.0,0.008918676731838993,0.00839679559597073,0.00659127709185281
2021-07-01,3754.3428,-0.02473838097734138,0.00042088406805262935,0.0,0.020868412434748684,0.010656371147483412,0.0
2021-07-02,3715.8807,-0.010297533902059897,0.0002981615767065904,0.0,0.017455458822883685,0.006442491037271125,0.0
2021-07-03,3715.8807,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,3715.8807,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05,3803.9223,0.023417002584139368,0.000726503416748514,0.0,-0.00021365238837756095,0.02310627109403285,0.0
2021-07-06,3770.9553,-0.008704354020789395,0.0004202762267526694,0.0,0.008298802814694639,0.010238571148175168,0.0
2021-07-07,3998.7497,0.05865337267190718,0.0004531081531675696,0.0,-0.029679597839645133,0.014796817441439458,0.0
2021-07-08,4079.1755,0.019913147403006093,0.002288585475858085,0.0,-0.03238969914306278,0.015063452952277956,0.0
2021-07-09,4134.789,0.013541414701176535,9.936031835255932e-05,0.0,-0.005199514370286096,0.00864351119581741,0.0
2021-07-10,4134.789,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,4134.789,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-12,4286.6069,0.03605918822460907,0.0012335166258932162,0.0,0.021081740618796196,0.005245600964849828,0.0
2021-07-13,4308.834,0.005171846285202619,0.0009776748046439465,0.012739025777429802,-0.00022195094975163698,0.009938557906222556,0.0
2021-07-14,4167.8928,-0.03325674952150415,0.0010350098055207368,0.0,0.014544108289306301,0.009141045720250318,0.0
2021-07-15,4303.1222,0.03193026789413267,0.0005272844352051109,0.02672820531127984,-0.016321491561036794,0.009289430479482164,-0.013586193963643467
2021-07-16,4173.6019,-0.030561424276347893,0.0003879309418479693,0.0,-0.02522088196442418,0.0023089366064787953,0.0
2021-07-17,4173.6019,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,4173.6019,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19,4112.3707,-0.014779753100681248,0.0006720196760721109,0.0,-0.014702768874349736,0.028868921509786816,-0.024967128308120756
2021-07-20,4164.104,0.01250145155772131,0.0005360484210017447,-0.01414942310441969,-0.046420837163152484,-0.0015696830221489932,-0.005180400114444872
2021-07-21,4374.2379,0.04923118392481918,0.0007660108344262895,0.0024968801985871814,-0.019090153892915573,0.004031360442954934,0.01837949182720333
2021-07-22,4441.1513,0.015181334282756254,0.0006182512937078499,0.0,0.025855098754887784,0.015304723709327561,0.042954121669190215
2021-07-23,4410.8598,-0.0068440081912832795,0.0004769655609662138,-0.000498877535914044,0.021675256103120155,0.0,-0.004195810351335538
2021-07-24,4410.8598,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,4410.8598,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-26,4370.2125,-0.009258001514217185,0.000856951429607733,0.0,0.020292241480753148,0.04434648278971842,-0.009505440343191118
2021-07-27,4086.3203,-0.06716675198130595,0.00013909376772591742,0.0,0.015806078691725567,0.025570460840611986,0.012479290168903923
2021-07-28,4099.8116,0.0032961384887322254,-0.00018583812201544703,-0.0019980026626731373,0.008373931472557494,0.009804000096620413,0.012842939454000835
