,地缘政治风险指数（GPR China）,气候政策风险指数（CCPU）,绿色债券指数,INE原油,碳市场碳排放配额价格,天然气出厂价格指数,焦煤期货价格
2021-10-29,0.761751115322113,2.00660068980367,1.0081342274745448,1.1787913340935006,0.8278352527815733,1.679889298892989,1.8772112382934443
2021-10-30,0.761751115322113,2.25937629991649,1.0081342274745448,1.1787913340935006,0.8278352527815733,1.679889298892989,1.8772112382934443
2021-10-31,0.761751115322113,1.63795362770061,1.0081342274745448,1.1787913340935006,0.8278352527815733,1.679889298892989,1.8772112382934443
2021-11-01,0.7960199117660522,2.20571728073798,1.0085011638498127,1.1881413911060432,0.8286160452859653,1.8018911439114391,1.8746097814776275
2021-11-02,0.7960199117660522,2.28385351175708,1.0094114374463943,1.211630558722919,0.8282256490337693,1.8152675276752768,1.868366285119667
2021-11-03,0.7960199117660522,2.20503890887098,1.0099067167449067,1.2013683010262257,0.8276400546554753,1.7982011070110702,1.8470343392299688
2021-11-04,0.7960199117660522,2.01084409209094,1.0102453837538212,1.171265678449259,0.8262736677727894,1.772140221402214,1.772372528616025
2021-11-05,0.7960199117660522,1.73314210135527,1.0117244370014344,1.1767388825541618,0.833300800312317,1.7486162361623616,1.7689906347554631
2021-11-06,0.7960199117660522,2.35370943438631,1.0117244370014344,1.1767388825541618,0.833300800312317,1.7486162361623616,1.7689906347554631
2021-11-07,0.7960199117660522,1.26639278878119,1.0117244370014344,1.1767388825541618,0.833300800312317,1.7486162361623616,1.7689906347554631
2021-11-08,0.7960199117660522,1.95511191255756,1.0121105965458226,1.190877993158495,0.8311536209252391,1.679889298892989,1.7689906347554631
2021-11-09,0.7960199117660522,2.01048221859192,1.0121665698912026,1.2002280501710376,0.8340815928167089,1.6704335793357934,1.7689906347554631
2021-11-10,0.7960199117660522,2.17796146898756,1.012235547145105,1.2102622576966933,0.834276790942807,1.6672047970479704,1.7689906347554631
2021-11-11,0.7960199117660522,1.89695943828976,1.0120054345029879,1.2011402508551883,0.8293968377903573,1.6849630996309963,1.7689906347554631
2021-11-12,0.7960199117660522,2.01874311622505,1.0121450851727738,1.1806157354618017,0.832715205934023,1.7121771217712176,1.8197190426638918
2021-11-13,0.7960199117660522,2.84477804377969,1.0121450851727738,1.1806157354618017,0.832715205934023,1.7121771217712176,1.8197190426638918
2021-11-14,0.7960199117660522,1.72494079724426,1.0121450851727738,1.1806157354618017,0.832715205934023,1.7121771217712176,1.8197190426638918
2021-11-15,0.7960199117660522,1.90913720194368,1.0125787372526358,1.1705815279361458,0.8379855553386688,1.728321033210332,1.3545785639958376
